4 accumulation steps, 24 fragments per step, 1024 fragment legnth
e512h3d50w1024 b96f1024 drop1ch1tail5 0x0, size 149.835M
iter 135k, 904.154 sec, train err -2.93695, test err -2.96472
iter 136k, 898.152 sec, train err -2.93552, test err -2.96516
iter 137k, 898.265 sec, train err -2.93435, test err -2.96445
iter 138k, 897.967 sec, train err -2.93359, test err -2.96215
iter 139k, 897.904 sec, train err -2.93311, test err -2.96126
iter 140k, 897.39 sec, train err -2.93108, test err -2.9623
iter 141k, 897.846 sec, train err -2.93149, test err -2.96197
iter 142k, 897.88 sec, train err -2.93091, test err -2.9608
iter 143k, 897.851 sec, train err -2.93021, test err -2.96137
iter 144k, 897.625 sec, train err -2.92958, test err -2.96009
iter 145k, 898.177 sec, train err -2.92967, test err -2.9594
iter 146k, 897.516 sec, train err -2.92873, test err -2.95835
iter 147k, 897.546 sec, train err -2.92816, test err -2.95788
iter 148k, 897.739 sec, train err -2.92672, test err -2.95766
iter 149k, 897.65 sec, train err -2.92679, test err -2.95803
iter 150k, 898.03 sec, train err -2.92596, test err -2.95787
iter 151k, 905.022 sec, train err -2.92681, test err -2.95745
iter 152k, 904.35 sec, train err -2.9256, test err -2.95685
iter 153k, 904.152 sec, train err -2.92459, test err -2.95653
iter 154k, 904.349 sec, train err -2.92364, test err -2.95595
iter 155k, 916.194 sec, train err -2.92331, test err -2.95478
iter 156k, 905.114 sec, train err -2.92178, test err -2.9532
iter 157k, 904.428 sec, train err -2.92319, test err -2.95489
iter 158k, 904.505 sec, train err -2.92189, test err -2.95388
iter 159k, 903.081 sec, train err -2.92215, test err -2.95285
iter 160k, 910.867 sec, train err -2.92247, test err -2.95302
iter 161k, 923.345 sec, train err -2.92202, test err -2.95127
iter 162k, 910.306 sec, train err -2.92244, test err -2.95135
iter 163k, 906.222 sec, train err -2.92128, test err -2.95078
iter 164k, 905.48 sec, train err -2.91932, test err -2.95024
iter 165k, 906.942 sec, train err -2.91985, test err -2.9512
iter 166k, 906.79 sec, train err -2.91855, test err -2.95017
iter 167k, 906.585 sec, train err -2.91896, test err -2.94977
iter 168k, 907.349 sec, train err -2.91754, test err -2.9486
iter 169k, 913.197 sec, train err -2.91902, test err -2.94995
iter 170k, 910.963 sec, train err -2.91711, test err -2.94936
iter 171k, 909.357 sec, train err -2.91635, test err -2.9471
iter 172k, 908.202 sec, train err -2.91568, test err -2.94836
iter 173k, 906.124 sec, train err -2.91602, test err -2.94691
iter 174k, 906.276 sec, train err -2.91476, test err -2.94622
iter 175k, 906.14 sec, train err -2.91467, test err -2.94697
iter 176k, 905.329 sec, train err -2.91372, test err -2.94562
iter 177k, 898.891 sec, train err -2.91509, test err -2.94674
iter 178k, 911.642 sec, train err -2.91364, test err -2.94653
iter 179k, 907.321 sec, train err -2.91301, test err -2.94534
iter 180k, 906.436 sec, train err -2.91276, test err -2.94464
iter 181k, 940.429 sec, train err -2.91205, test err -2.94433
iter 182k, 906.266 sec, train err -2.91106, test err -2.94357
iter 183k, 906.304 sec, train err -2.91049, test err -2.94318
iter 184k, 906.681 sec, train err -2.91078, test err -2.94304
iter 185k, 904.472 sec, train err -2.91134, test err -2.94304
iter 186k, 899.02 sec, train err -2.90881, test err -2.94248
iter 187k, 905.619 sec, train err -2.91018, test err -2.94218
iter 188k, 900.696 sec, train err -2.90877, test err -2.94107
iter 189k, 898.553 sec, train err -2.90846, test err -2.93946
iter 190k, 896.626 sec, train err -2.90882, test err -2.9407
iter 191k, 896.574 sec, train err -2.90983, test err -2.94288
iter 192k, 896.547 sec, train err -2.90804, test err -2.94045
iter 193k, 891.901 sec, train err -2.90821, test err -2.94006
iter 194k, 889.923 sec, train err -2.9076, test err -2.93975
iter 195k, 889.786 sec, train err -2.90738, test err -2.93961
iter 196k, 889.604 sec, train err -2.90671, test err -2.93999
iter 197k, 889.577 sec, train err -2.90674, test err -2.94013
iter 198k, 889.514 sec, train err -2.90552, test err -2.93865
iter 199k, 889.622 sec, train err -2.90541, test err -2.93877
iter 200k, 889.701 sec, train err -2.90518, test err -2.93849
iter 201k, 889.645 sec, train err -2.90547, test err -2.93758
iter 202k, 889.514 sec, train err -2.90424, test err -2.93847
iter 203k, 889.493 sec, train err -2.90442, test err -2.93799
iter 204k, 889.794 sec, train err -2.90354, test err -2.93752
iter 205k, 889.887 sec, train err -2.90293, test err -2.93673
iter 206k, 890.061 sec, train err -2.90401, test err -2.93488
iter 207k, 484.496 sec, train err -2.90156, test err -2.93419
iter 208k, 484.466 sec, train err -2.90205, test err -2.93397
iter 209k, 484.201 sec, train err -2.90078, test err -2.93307
iter 210k, 484.321 sec, train err -2.89966, test err -2.93152
iter 211k, 8.02577 sec, train err -2.90027, test err -2.93209
iter 212k, 487.44 sec, train err -2.89872, test err -2.9321
iter 213k, 485.521 sec, train err -2.89857, test err -2.93142
iter 214k, 485.21 sec, train err -2.89851, test err -2.93223
iter 215k, 485.064 sec, train err -2.89801, test err -2.9323
iter 216k, 484.834 sec, train err -2.89768, test err -2.93159
iter 217k, 484.914 sec, train err -2.89709, test err -2.93053
iter 218k, 484.714 sec, train err -2.89701, test err -2.93032
iter 219k, 484.768 sec, train err -2.89656, test err -2.93014
iter 220k, 484.699 sec, train err -2.89502, test err -2.92919
iter 221k, 484.909 sec, train err -2.896, test err -2.93002
iter 222k, 484.914 sec, train err -2.89378, test err -2.9284
iter 223k, 484.947 sec, train err -2.89445, test err -2.92819
iter 224k, 484.688 sec, train err -2.89506, test err -2.92951
iter 225k, 484.807 sec, train err -2.89353, test err -2.92903
iter 226k, 484.811 sec, train err -2.89435, test err -2.92814
iter 227k, 484.782 sec, train err -2.89443, test err -2.92669
iter 228k, 484.93 sec, train err -2.8934, test err -2.92816
iter 229k, 484.82 sec, train err -2.89365, test err -2.92802
iter 230k, 484.749 sec, train err -2.89389, test err -2.92667
iter 231k, 485.329 sec, train err -2.89358, test err -2.92517
iter 232k, 485.371 sec, train err -2.89213, test err -2.92441
iter 233k, 485.186 sec, train err -2.89133, test err -2.92455
iter 234k, 485.167 sec, train err -2.89239, test err -2.9261
iter 235k, 485.339 sec, train err -2.89264, test err -2.9257
iter 236k, 485.398 sec, train err -2.89261, test err -2.92464
iter 237k, 485.186 sec, train err -2.89222, test err -2.92469
iter 238k, 485.248 sec, train err -2.89121, test err -2.92375
iter 239k, 485.089 sec, train err -2.89107, test err -2.92353
iter 240k, 485.119 sec, train err -2.8912, test err -2.92218
iter 241k, 485.074 sec, train err -2.89166, test err -2.92358
iter 242k, 485.059 sec, train err -2.89057, test err -2.92255
iter 243k, 485.178 sec, train err -2.8889, test err -2.9226
iter 244k, 485.473 sec, train err -2.88871, test err -2.92232
iter 245k, 485.395 sec, train err -2.88917, test err -2.92218
iter 246k, 484.903 sec, train err -2.88831, test err -2.92206
iter 247k, 484.709 sec, train err -2.88798, test err -2.92195
iter 248k, 484.938 sec, train err -2.8871, test err -2.92168
iter 249k, 484.939 sec, train err -2.88684, test err -2.92184
iter 250k, 484.821 sec, train err -2.88608, test err -2.92045
iter 251k, 484.731 sec, train err -2.88597, test err -2.92059
iter 252k, 484.948 sec, train err -2.88584, test err -2.92026
iter 253k, 485.144 sec, train err -2.88463, test err -2.91997
iter 254k, 485.113 sec, train err -2.88495, test err -2.92101
iter 255k, 485.084 sec, train err -2.88381, test err -2.91897
iter 256k, 484.951 sec, train err -2.88462, test err -2.91922
iter 257k, 485.009 sec, train err -2.88624, test err -2.91938
iter 258k, 485.072 sec, train err -2.88596, test err -2.91937
iter 259k, 485.035 sec, train err -2.88572, test err -2.91956
iter 260k, 484.956 sec, train err -2.88491, test err -2.91926
iter 261k, 484.939 sec, train err -2.88568, test err -2.91882
iter 262k, 484.865 sec, train err -2.88479, test err -2.91905
iter 263k, 484.829 sec, train err -2.8856, test err -2.91808
iter 264k, 484.886 sec, train err -2.88563, test err -2.91898
iter 265k, 484.671 sec, train err -2.88437, test err -2.91822
iter 266k, 484.818 sec, train err -2.88484, test err -2.91768
iter 267k, 484.93 sec, train err -2.88415, test err -2.91764
iter 268k, 484.83 sec, train err -2.88277, test err -2.91699
iter 269k, 484.805 sec, train err -2.8823, test err -2.91714
